Time,Time_ms,Event,Block,Trial_In_Block,Event_Type,Trial_Number,Sample_Index,Time_Relative,Valid,ACC,CRESP,RESP,Num_Digits,Window
16.752,90205,6.0,,,Session Start,,4188,16.752,True,,,,,
83.912,157367,8.0,1.0,1.0,Main Trial Start,1,20978,83.912,True,1,14,14,2.0,
83.912,157367,1.0,1.0,1.0,Fixation Start,1,20978,83.912,True,1,14,14,2.0,
83.928,157382,2.0,1.0,1.0,Fixation End,1,20982,83.928,True,1,14,14,2.0,
84.928,158381,10.0,1.0,1.0,Stimulus Start,1,21232,84.928,True,1,14,14,2.0,Stimulus
85.928,159385,11.0,1.0,1.0,Stimulus End,1,21482,85.928,True,1,14,14,2.0,Stimulus
85.928,159385,1.0,1.0,1.0,Fixation Start,1,21482,85.928,True,1,14,14,2.0,Stimulus
85.952,159407,2.0,1.0,1.0,Fixation End,1,21488,85.952,True,1,14,14,2.0,Stimulus
86.952,160406,10.0,1.0,1.0,Stimulus Start,1,21738,86.952,True,1,14,14,2.0,Stimulus
87.956,161410,11.0,1.0,1.0,Stimulus End,1,21989,87.956,True,1,14,14,2.0,Stimulus
87.956,161410,12.0,1.0,1.0,Choice Start,1,21989,87.956,True,1,14,14,2.0,Choice
90.0,163453,13.0,1.0,1.0,Choice End,1,22500,90.0,True,1,14,14,2.0,Choice
90.0,163453,14.0,1.0,1.0,Feedback Start,1,22500,90.0,True,1,14,14,2.0,
91.508,164964,15.0,1.0,1.0,Feedback End,1,22877,91.508,True,1,14,14,2.0,
91.508,164964,9.0,1.0,1.0,Main Trial End,1,22877,91.508,True,1,14,14,2.0,
91.508,164964,8.0,1.0,2.0,Main Trial Start,2,22877,91.508,True,1,32,32,2.0,
91.508,164964,1.0,1.0,2.0,Fixation Start,2,22877,91.508,True,1,32,32,2.0,
91.544,164999,2.0,1.0,2.0,Fixation End,2,22886,91.544,True,1,32,32,2.0,
92.544,165997,10.0,1.0,2.0,Stimulus Start,2,23136,92.544,True,1,32,32,2.0,Stimulus
93.544,167001,11.0,1.0,2.0,Stimulus End,2,23386,93.544,True,1,32,32,2.0,Stimulus
93.544,167001,1.0,1.0,2.0,Fixation Start,2,23386,93.544,True,1,32,32,2.0,Stimulus
93.564,167019,2.0,1.0,2.0,Fixation End,2,23391,93.564,True,1,32,32,2.0,Stimulus
94.564,168018,10.0,1.0,2.0,Stimulus Start,2,23641,94.564,True,1,32,32,2.0,Stimulus
95.568,169022,11.0,1.0,2.0,Stimulus End,2,23892,95.568,True,1,32,32,2.0,Stimulus
95.568,169022,12.0,1.0,2.0,Choice Start,2,23892,95.568,True,1,32,32,2.0,Choice
97.448,170904,13.0,1.0,2.0,Choice End,2,24362,97.448,True,1,32,32,2.0,Choice
97.448,170904,14.0,1.0,2.0,Feedback Start,2,24362,97.448,True,1,32,32,2.0,
98.96,172414,15.0,1.0,2.0,Feedback End,2,24740,98.96,True,1,32,32,2.0,
98.96,172414,9.0,1.0,2.0,Main Trial End,2,24740,98.96,True,1,32,32,2.0,
98.96,172414,8.0,2.0,1.0,Main Trial Start,3,24740,98.96,True,1,325,325,3.0,
98.96,172414,1.0,2.0,1.0,Fixation Start,3,24740,98.96,True,1,325,325,3.0,
98.984,172440,2.0,2.0,1.0,Fixation End,3,24746,98.984,True,1,325,325,3.0,
99.984,173439,10.0,2.0,1.0,Stimulus Start,3,24996,99.984,True,1,325,325,3.0,Stimulus
100.988,174443,11.0,2.0,1.0,Stimulus End,3,25247,100.988,True,1,325,325,3.0,Stimulus
